경영 협의회,0,0,10,NNG,*,F,경영 협의회,*,*,*,*,*
사업대표,0,0,10,NNG,*,F,사업대표,*,*,*,*,*
현장경영,0,0,10,NNG,*,T,현장경영,*,*,*,*,*
gtm,0,0,10,NNG,*,T,gtm,*,*,*,*,*
vdi,0,0,10,NNG,*,F,vdi,*,*,*,*,*
cloud-z,0,0,10,NNG,*,F,cloud-z,*,*,*,*,*
cloudz,0,0,10,NNG,*,F,cloudz,*,*,*,*,*
cloud z,0,0,10,NNG,*,F,cloud z,*,*,*,*,*
cloud-edge,0,0,10,NNG,*,F,cloud-edge,*,*,*,*,*
cloudedge,0,0,10,NNG,*,F,cloudedge,*,*,*,*,*
cloud edge,0,0,10,NNG,*,F,cloud edge,*,*,*,*,*
클라우드,0,0,10,NNG,*,F,클라우드,*,*,*,*,*
사내 시스템,0,0,10,NNG,*,T,사내 시스템,*,*,*,*,*
사내시스템,0,0,10,NNG,*,T,사내시스템,*,*,*,*,*
단기 성과,0,0,10,NNG,*,F,단기 성과,*,*,*,*,*
단기성과,0,0,10,NNG,*,F,단기성과,*,*,*,*,*
watson,0,0,10,NNG,*,T,watson,*,*,*,*,*
왓슨,0,0,10,NNG,*,T,왓슨,*,*,*,*,*
유심포니,0,0,10,NNG,*,F,유심포니,*,*,*,*,*
선거운동,0,0,10,NNG,*,T,선거운동,*,*,*,*,*
연봉체계,0,0,10,NNG,*,F,연봉체계,*,*,*,*,*
포괄 임금제,0,0,10,NNG,*,F,포괄 임금제,*,*,*,*,*
포괄임금제,0,0,10,NNG,*,F,포괄임금제,*,*,*,*,*
장기 투자,0,0,10,NNG,*,F,장기 투자,*,*,*,*,*
장기투자,0,0,10,NNG,*,F,장기투자,*,*,*,*,*
구성원 의사,0,0,10,NNG,*,F,구성원 의사,*,*,*,*,*
스마트워크,0,0,10,NNG,*,F,스마트워크,*,*,*,*,*
스마트 워크,0,0,10,NNG,*,F,스마트 워크,*,*,*,*,*
smartwork,0,0,10,NNG,*,F,smartwork,*,*,*,*,*
여유시간,0,0,10,NNG,*,T,여유시간,*,*,*,*,*
여유 시간,0,0,10,NNG,*,T,여유 시간,*,*,*,*,*
우리 회사,0,0,10,NNG,*,F,우리 회사,*,*,*,*,*
우리회사,0,0,10,NNG,*,F,우리회사,*,*,*,*,*
외부 사이트,0,0,10,NNG,*,F,외부 사이트,*,*,*,*,*
외부사이트,0,0,10,NNG,*,F,외부사이트,*,*,*,*,*
전사공지,0,0,10,NNG,*,F,전사공지,*,*,*,*,*
전사 공지,0,0,10,NNG,*,F,전사 공지,*,*,*,*,*
점심시간,0,0,10,NNG,*,T,점심시간,*,*,*,*,*
점심 시간,0,0,10,NNG,*,T,점심 시간,*,*,*,*,*
제조사업,0,0,10,NNG,*,T,제조사업,*,*,*,*,*
전략사업,0,0,10,NNG,*,T,전략사업,*,*,*,*,*
금융사업,0,0,10,NNG,*,T,금융사업,*,*,*,*,*
its사업,0,0,10,NNG,*,T,its사업,*,*,*,*,*
its 사업,0,0,10,NNG,*,T,its 사업,*,*,*,*,*
물류서비스사업,0,0,10,NNG,*,T,물류서비스사업,*,*,*,*,*
물류/서비스사업,0,0,10,NNG,*,T,물류/서비스사업,*,*,*,*,*
업무체계,0,0,10,NNG,*,F,업무체계,*,*,*,*,*
업무 체계,0,0,10,NNG,*,F,업무 체계,*,*,*,*,*
